defined_meaning_id	GROUP_CONCAT(uw_expression.spelling SEPARATOR ',')
749	controlling authority
752	convention
753	conventional energy
755	cooling oil
756	cooling tower
757	cooling water
758	cooperation
761	copper
762	coppice
763	coral
764	coral reef
766	meltdown,nuclear meltdown,core meltdown
767	cork
769	corrosion
770	corrosion inhibitor
771	cosmetic industry
772	cosmic radiation
774	cost-benefit analysis
775	cost increase
776	cost recovery basis
778	cost
781	cotton
782	county
783	court of justice
784	covering,roofing
785	craft
786	credit assistance
787	criminality
788	criminal law
789	critical level
790	critical load
791	crocodile
793	crop rotation
794	crop waste
795	crossing place
797	crude oil
798	cruise
799	crustacean
800	cryptogam
802	crystallography
803	cultivated plant
804	cultivation,tillage
805	cultivation method
807	cultural facility
808	cultural heritage
811	culture
812	curriculum
814	customs
815	cutting,logging
816	cyanate
817	cyanide
818	cyclone
819	cytology,cell biology
820	cytotoxicity
821	dairy farm
822	dairy industry
824	dam
825	damage
829	dangerous goods
833	data analysis
834	database
835	data carrier
836	data exchange
837	data processing
838	data protection
840	dating
841	decay product
842	DDT,dichloro-diphenyl-trichloroethane
843	debt
847	deciduous forest,deciduous wood
848	deciduous tree
852	decontamination
853	decree
854	deep sea
857	deep sea fishing
858	deer
860	defoliation
861	disforestation,deforestation
862	degradability
866	degreasing
867	de-inking
868	delinquency
869	delta
870	demand
871	democracy
873	demographic evolution
874	demography
878	dendrochronology,tree-ring dating
879	dendrometry
880	denitrification
883	deposition
884	deregulation
885	earwigs,dermapteran
886	desalination
887	desalination plant
888	desert
889	desertification
891	desert locust
894	desorption
897	detection
898	detector
899	detergent
900	determination method
901	deterrent
902	detoxification
903	developed country
905	developing country
906	development aid
907	development area
911	development planning
912	development plan
913	dialysis
914	diatom
915	dictionary
916	didactics
917	diesel engine,compression ignition engine,compression-ignition engine
918	diesel fuel,diesel
919	differentiation
921	diffusion
922	digested sludge
924	digestion
925	digital land model
927	diluted acid
928	dioxin
929	direct discharger
930	directive
931	disabled person
932	disaster
936	disaster preparedness
938	disaster relief
940	discharge regime
941	sickness,malady,illness,disease,disorder
943	disinfectant
944	disinfection
945	dispatch note
946	dispersion
948	displaced person
950	disposal of warfare materials
951	dissolution
952	dissolved organic carbon
953	distillation
954	distilling industry
957	district heating
959	disused military site
960	ditch
961	DNA,deoxyribonucleic acid
962	writing,document
963	documentation
966	dog
967	domestic appliance
968	domesticated animal
972	domestic trade
973	domestic waste
976	dosage
977	dose
978	dose-effect relationship,exposure-response relationship,dose-response relationship
980	dragonfly
981	drainage
984	dredged material
988	drilling
990	drinking water
993	drinking water treatment
994	drought,drouth
995	drought control
998	dry cleaning
1000	dry farming
1001	drying
1002	drying out
1003	dual economy
1007	dune
1008	duration of sunshine
1009	dust
1011	dust removal
1013	dwelling
1014	tincture,dye,colourant
1015	levee,dyke
1016	dyke reinforcement
1017	early warning system
1018	Earth's crust,crust
1019	earthquake
1020	earth science
1021	Earth-Sun relationship
1022	earthworm
1023	earwig
1024	East Africa
1025	East Asia,Eastern Asia
1026	Eastern Europe
1028	East-West trade
1029	EC Council of Ministers
1035	EC ecolabel
1036	echinoderm
1040	ecological adaptation
1042	ecological balance
1045	ecological niche
1050	ecology
1051	trophic ecology
1054	economic analysis
1055	economic development
1056	economic growth
1057	economic instrument
1060	economic policy
1061	economics,economic science
1063	economic system
1064	economic theory
1066	economic viability
1067	economic zoning
1068	economy
1070	ecophysiology
1071	ecosystem
1076	ecotourism
1077	ecotoxicity
1079	ecotoxicology
1080	ecotype
1085	edaphology
1086	edible fat
1087	education
1088	educational institution
1089	educational planning
1090	education policy
1091	educational system
1092	effect
1097	efficiency criterion
1098	efficiency level
1100	egg
1104	elasticity
1106	electrical engineering
1109	electricity
1111	electricity consumption
1112	electricity generation
1115	electric power line,electric power transmission,electric line,power line
1116	electric power
1117	electric power generating plant,power station,electric power plant
1119	electric vehicle
1120	electrokinetics
1121	electrolysis
1123	electronics
1124	electronic scrap
1126	electrosmog
1129	noble gas
1130	alkaline metal,alkali metal
1131	alkaline earth metal
