defined_meaning_id	GROUP_CONCAT(uw_expression.spelling SEPARATOR ',')
7296	helium
7297	weaving
7298	concept
7299	lexeme
7300	xerophyte,xeric plant
7304	Italian
7306	cactus
7307	wet scrubber
7310	grapheme
7311	glyph
7312	font,typeface
7313	fountain,font
7315	script
7316	butterfly
7317	Senegal
7318	Capodimonte
7319	Sénégal River
7320	Turkey
7321	turkey
7322	Chad,Republic of Chad
7324	Security Council,United Nations Security Council,UNSC
7326	convoy
7327	delivery
7328	forswearing,perjury
7330	Genoa
7331	senior
7332	Pluto
7333	Pluto
7334	Huey, Dewey, and Louie
7336	Donald Duck,Donald Fauntleroy Duck
7337	Gone with the Wind
7338	Gone with the Wind
7339	Pulitzer Prize
7340	ontology
7341	ontology
7343	Dijon
7344	bat
7345	perfidy,faithlessness,treachery
7346	furrow
7347	Curious George
7348	spit the dummy
7349	competition
7350	zinc
7351	teen,teenager
7352	small square
7353	coppersmith
7354	grooming
7355	marimba,xylophone
7356	cement mixer,concrete mixer
7357	soda,sparkling water,carbonated water,soda water,seltzer water
7358	notebook
7359	homework
7360	homework
7362	case
7363	case
7364	case
7365	case
7366	case
7367	suitcase,case
7368	case
7369	case
7370	case
7371	case
7372	case
7373	scrawny
7374	meagerly
7375	thinness,leanness
7376	lose weight
7377	metabolomics
7379	Slovak
7380	yuck,yuk
7381	Batman
7382	exercise,practice
7383	practice
7384	practice
7385	practice
7386	practice
7387	practice
7388	perseverance,insistence
7389	carp,common carp,European carp,Common carp
7390	assiduity
7391	Scrooge McDuck
7392	patience
7393	hero,agonist,protagonist
7394	however,nonetheless,all the same,nevertheless,just the same,still,though
7395	etymology
7397	silly,foolish,doltish
7399	when
7401	Earth,globe,world,earth,Blue Planet
7402	ground
7403	humus
7412	nut
7413	young,child,offspring
7414	Frau,lady
7417	waiting line,queue
7418	Eden'serpent
7423	not
7426	serious
7427	airstrike,air strike
7432	through,by
7433	on
7435	with
7436	of
7437	bomb
7438	bomb,bombshell,sex bomb
7439	bomb
7440	bomb
7441	bomb
7442	bomb,bombard
7443	google
7444	flash flood
7445	assumption of Mary
7446	horny
7447	horny,horned
7448	shrine
7449	Lithuania,Republic of Lithuania
7450	armchair
7451	begin,start
7453	relic
7455	afternoon
7456	danger
7458	entrepreneur
7459	goatling
7463	recent
7464	nevus,naevus,nævus,mole
7466	in the evening
7467	fresh
7468	in the morning
7469	sound
7470	stylish,elegant,chic
7471	try
7472	mirror,panel,glass
7473	try
7475	accent
7476	accent
7477	accent
7480	lithium
7481	pardon
7483	Lebanon,Lebanese Republic
7489	bench
7490	shoal,school
7491	Greenland
7492	Middle East
7493	Sunshine State,Florida
7494	spike
7495	lemma
7496	spike
7497	spike
7498	architect
7499	anseriformes
7500	house band
7501	manatee
7502	gorilla
7503	sardonic,cynical
7504	sport,sportsperson
7505	performer
7506	bank
7507	bank
7508	bank
7509	jackdaw,daw
7511	tasty,palatable,sapid
7512	haze
7513	word of the day
7514	wiki
7515	Pulcinella,Punch
7523	Somaliland
7524	victim
7525	victim,sacrifice
7526	Bali
7527	Ewe
7528	spaghetti
7529	be right
7530	Sri Lanka
7531	safe
7532	safe
7534	duty
7535	quite
7536	Mexico City
7537	west
7538	hip hop music,hip hop
7540	jump rope
7542	travel
7544	author,writer
7545	plot,storyline
7546	mystery
7547	mysterious
7548	mercy
7549	Litani
7550	look
7552	bear
7553	lament
7554	bear
7555	bear,tolerate
7556	bear
7557	amount,sum
7558	amount
7559	toothbrush
7560	brush
7561	brush
7562	brush
7563	brush
7564	brush
7565	brush
7566	brush,sweep
7567	brush
7569	borrow
7570	borrow,adopt,take over,take up
7571	borrow
7573	synonym
7574	antonym
7576	plain,sound off,kick,quetch,complain
7577	you're welcome,it was nothing,no problem,don't worry about it
7579	rabble
7580	hot cross bun
7581	tag
7582	it
7583	sardines
7584	tag
7586	British Bulldogs,Bulldogs
7587	snuggle
7588	cuddle,snuggle
7589	amount,quantity
7591	cowbell
7593	scared,afraid
7594	scold
7595	date
7597	zweifelhaft,iffy,dodgy
7598	little bell
7599	café,coffee shop,tea shop,coffee-shop,coffee house,caff,cafe,cafeteria
7602	jigsaw,jigsaw puzzle
7603	jigsaw
7604	La Loggia
7605	hand saw
7606	tenon saw,backsaw
7607	fretsaw
7608	Apache
7609	Apache
7610	Navajo,Navaho
7611	Navajo,Navaho
7612	D'ni
7613	mad,angry
7614	D'ni
7615	gearbox
7616	have a nice meal,enjoy your meal
7617	dinner's ready,soup's on,grub's up
7618	profusely,a lot,loads
7619	use,employ,utilize,apply,utilise
7620	ask
7621	ask,demand
7622	jump
7623	Sabbia
7624	Reano
7625	portable
7626	portable
7628	female
7629	sweet dreams,sleep well
7630	good night
7631	germ
7632	Georgia
7633	Georgia
7634	crane
7635	Georgian
7636	Georgian
7637	good morning,morning
7638	good afternoon,afternoon
7639	good evening
7640	crane
7641	crane
7642	behead,decapitate
7643	meet,congregate,accumulate,forgather,amass,foregather,assemble,gather
7644	faithful,congregation,fold
7645	congregation
7646	congregating,congregation
7647	get lost
7649	girlfriend,gf
7652	terrorist
7653	terrorist
7654	tea,dinner,supper,evening meal
7655	tea
7656	afternoon tea
7658	Englishman
7660	Englishwoman
7661	Bagnara di Romagna
7662	abolish,suppress,annul,revoke
7663	mouthful
7664	favicon
7665	Catalan
7666	bluetongue disease,catarrhal fever
7667	she
7668	license,permit
7669	Oxford
7670	transvestite,cross-dresser
7671	transvestite,transvestic
7672	homosexual
7673	bisexual
7674	bisexual,epicene
7675	bisexual,bisexual person
7676	androgen
7677	estrogen,oestrogen
7679	marrow,marrow squash,vegetable marrow
7681	core,center,essence,substance,gist,marrow,kernel
7682	rubber,safety,condom,prophylactic,safe
7683	intercourse,sexual intercourse,copulation,coitus
7684	intercourse,social intercourse
7685	vagina
7686	labium
7687	vulva
7688	clitoris,clit,button
7689	urethra
7690	bellybutton,omphalos,omphalus,belly button,navel,umbilicus
7691	umbilical cord
7692	fetus,foetus
7693	placenta
7694	placenta
7695	anybody,anyone
7696	embryo
7697	duct
7698	duct
7699	duct
7700	Furhac
7702	North Atlantic Treaty Organization,NATO
7705	international
7706	international,external,outside
7708	nation
7709	weep,cry
7714	build
7715	the apple doesn't fall far from the tree
7716	if you can't stand the heat, stay out of the kitchen
7719	a wolf in sheep's clothing
7720	have made one's pile
7722	interfere,disturb
7723	inch
7724	suspect,surmise
7725	antiskid system,traction control system,Acceleration Slip Regulation
7726	sack,bag
7729	corner
7730	pilgrimage
7731	hem
7732	hem
7733	dog-ear,dogear,make dog-eared
7734	bizarre
7735	they
7736	uneventful
7737	infrequently,rarely,seldom
7738	they
7739	stubborn
7740	stubborn
7741	stubborn,refractory
7742	stubborn,obstinate,cussed,unregenerate
7743	Wanggamala
7744	Uradhi
7745	Wageman,Wagiman,Wakiman,Wogeman
7746	Yinggarda
7747	Yawuru
7748	Wunambal
7749	Wilawila
7750	Yanyuwa
7751	Wira-Athoree,Wiradhurri,Wiraduri,Wiraidyuri,Wirajeree,Wirashuri,Wiratheri,Wirracharee,Wirrai'yarrai,Wooragurie,Wordjerg,Wiradhuri,Wiradjuri,Warandgeri,Werogery,Wiiratheri
7752	Yawarawarga
7753	Wambaya
7754	Yankuntatjara,Jangkundjara,Kulpantja,Yankunytjatjara
7755	thousand
7756	Madura
7757	Igbo
7758	Ladin
7759	Lombard
7760	Yakut,Sakha
7761	Lak
7762	Hermione Granger
7763	they
7764	they
7767	minimum crew,skeleton crew
7768	suspect
7769	Vlax Romani
7770	Maori
7771	Lingala
7772	bean,edible bean
7773	cricket
7774	boat
7775	cricket
7776	Islamic Republic of Pakistan,Pakistan
7777	chewing gum
7778	Yangman
7779	Kalkutung
7780	Biri
7781	Kalarko
7782	ball,globe,orb,sphere
7783	Manangkari
7784	eatable,esculent,edible
7785	ball
7787	smitten,in love
7788	lover
7789	forfeit
7790	umpire,referee
7791	umpire
7793	collision
7794	monarch
7795	she,he
7796	master
7797	rule
7798	Uzbekistan
7799	Uganda,Republic of Uganda
7800	ill,sick
7801	everywhere
7802	string
7804	row,file
7805	quarrel,dispute,row,argument
7806	row
7808	row
7809	row
7810	row,racket,din
7811	bucket
7812	moon
7814	moon,drift away,dream about
7815	plop,plonk
7816	pocket
7817	pocket
7818	pocket
7819	aviation accident
7820	plane crash
7822	good
7823	pin
7824	pin,bowling pin
7825	pin
7826	breastpin
7828	dichotomy
7831	chimaera,chimera
7832	plonk
7833	comment,remark
7834	oftentimes,regularly,often,frequently
7835	channel
7836	frequency
7837	encompass,encircle
7838	encompass,circumscribe
7839	embrass,cover,encompass
7840	encompass,circumnavigate
7841	circumscribe,restrict
7842	socialist
7843	socialism
7844	Bangladesh,People's Republic of Bangladesh
7845	Belarus,Republic of Belarus
7846	construction,building
7847	Bolivia,Republic of Bolivia
7848	Guinea,Republic of Guinea
7849	zebra
7850	pedestrian crossing,zebra crossing,crosswalk
7851	its
7852	irrigate
7853	irrigate
7854	igneous rock
7855	intrusion
7856	poliomyelitis,polio
7858	trouser pocket
7859	skype
7862	tree
7865	El Salvador,Republic of El Salvador
7867	Portugal
7868	overcast,clouded,cloudy
7869	Lisbon
7870	dissimilar,other,different
7871	left-handed,lefthanded
7872	right-handed,righthanded
7876	skyper
7877	group
7878	foggy,bletheringly
7880	Australia
7881	behind closed doors
7882	annunciate,articulate
7883	annunciate,announce
7884	pepper
7885	bid,offer
7886	homing pigeon,carrier pigeon
7887	easy mark
7888	fireman,firefighter,fire fighter,fire-eater
7889	roughage
7890	dove,pigeon
7891	sparrow
7892	conference
7893	seminar
7894	diminutive
7896	sweet pepper,capsicum,pepper,bell pepper
7897	at,for … each,each for,each at,at … each,each
7898	birch,birch tree
7900	firefighter
7901	firewoman
7902	firefighters,firemen
7903	silly,airheaded,empty-headed,featherbrained,light-headed,lightheaded,giddy,dizzy
7904	fibre,non-starch polysaccharide,roughage
7907	soft
7908	sushi
7910	immigrant
7911	CGIL
7912	emigrant
7914	wheelbarrow
7916	vortex
7917	expurgate
7918	infix
7919	haunch
7922	immigrant
7923	prefix
7924	suffix
7925	coma
7926	coma
7927	coma
7928	fisherman
7929	Ivory Coast,Cote d'Ivoire,Republic of Cote d'Ivoire
7930	Cambodia,Kingdom of Cambodia
7931	Montenegro
7932	Palestine
7933	South Africa
7934	Pompeii
7935	progressively
7936	hindrance
7937	dwarf planet
7939	swimsuit,bathing suit
7941	Nicaragua
7942	planet
7943	embargo
7944	embargo
7946	personal computer,PC
7947	notebook computer,notebook,laptop,laptop computer
7948	Arabian Gulf,Gulf of Arabia,Red Sea
7949	Pacific Ocean,Pacific
7950	Atlantic,Atlantic Ocean
7951	farce
7952	farce
7953	farce
7954	stuffing
7955	France
7956	Finland,Republic of Finland
7957	Fiji,Republic of the Fiji Islands
7958	Greece,Hellenic Republic
7959	Jordan,Hashemite Kingdom of Jordan
7960	Jordan
7962	Jamaica
7963	North Sea
7964	dark matter
7965	Spain
7966	Kingdom of Saudi Arabia,Saudi Arabia
7967	iris
7968	retina
7969	iris
7971	joke,trick
7973	Pluto
7974	corkscrew
7975	polysemy
7976	polysemous,polysemic
7977	jester,clown,joker
7978	ordinal number
7979	third
7980	cardinal number
7981	Namibia
7982	Mercury
7983	Ghana,Republic of Ghana
7984	Guatemala,Republic of Guatemala
7985	Kenya,Republic of Kenya
7986	Kiribati,Republic of Kiribati
7987	pariah,outcast
7988	joker
7989	jester,joker
7990	Republic of Liberia,Liberia
7991	fool
7992	Laos,Lao People's Democratic Republic
7993	Cameroon,Republic of Cameroon
7994	Chile,Republic of Chile
7995	Colombia,Republic of Colombia
7996	anecdote
7997	Kingdom of Denmark,Denmark
7998	Cyprus,Republic of Cyprus
7999	emergency contraceptive pill,morning-after pill
8000	Slovenia
8001	Suriname
8002	Belize
8003	Republic of Estonia,Estonia
8004	Tanzania
8005	T-Shirt,T-shirt
8006	dress shirt
8007	atheism,godlessness
8009	decade
8010	millennium
8011	Cuba,Republic of Cuba
8012	trimester,quarter
8016	active,combat-ready,fighting
8017	active
8018	active,participating
8019	active
8020	active
8021	active
8022	active
8023	active,dynamic
8024	active
8025	Miskito
8026	Norway Spruce
8027	seven
8028	eight
8029	nine
8030	ass,donkey
8031	barrier,obstacle
8032	calamity
8033	altitude sickness,acute mountain sickness,AMS,altitude illness
8034	precaution
8035	asthma
8036	incontinence
8037	hunger
8038	buzzard
8040	hesitate
8041	hesitate,stammer,falter,stutter
8042	lady
8043	lady
8044	nucleus
8045	chain reaction
8046	chain reaction
8047	snow
8049	occupation
8050	occupation
8051	crucian carp
8052	coin
8054	ventriloquist
8056	invisible,unseeable
8059	visible
8060	buy
8061	buy,purchase
8062	Balochistan
8063	bleed
8064	Nastaliq script,Nasta'liq script
8065	purse
8066	Balochistan
8067	Balochistan
8068	European
8069	camel
8070	Ido
8071	Serbia
8072	Mauritania
8073	biome
8074	migration
8075	tug,tugboat
8077	Moldova
8078	Monaco
8079	Monaco
8080	Sultanate of Oman,Oman
8081	Kabul
8082	Panama
8083	Oporto
8084	Poland
8085	Paraguay
8087	Lesotho,Kingdom of Lesotho
8088	well
8089	bower anchor
8090	giant
8091	Republic of Peru,Peru
8093	Palau
8094	truffle
8095	cat o' nine tails
8096	lammergeier,bearded vulture
8098	sunny
8099	sunny
8100	kip,nap,snooze,forty winks,doze,siesta
8101	elm
8103	virgin
8104	only child
8105	sausage
8109	regret
8110	regret
8111	orangutan
8117	chick
8118	chicken
8119	Croatia,Republic of Croatia
8120	Djibouti,Republic of Djibouti
8121	homeopathy
8124	cockerel
8128	chess
8130	chicken
8131	east
8132	hormonal
8133	hammer,cock
8134	antidote,counterpoison
8135	boiling fowl
8136	dance
8137	dance
8140	co-op,condo
8141	atom
8146	hypochlorite
8147	salivary gland
8148	dry mouth,xerostomia
8149	lingual nerve
8152	group
8153	legal entity
8154	natural person
8155	ISO 639-3 codes
8156	stroke,cerebrovascular accident
8157	Sicilian
8158	sufficient,enough
8159	earlier,before,previously
8160	ahead,in front,before
8161	before
8162	virtually,almost,nearly
8163	intimately,nearly
8164	gauge,measure,mete
8165	Balinese,Bali
8166	measure
8167	measure
8169	measure
8170	bar,measure
8171	measure
8172	measure
8173	hard,solid,firm
8174	Yandruwandha
8175	hard,difficult
8176	hard
8177	hard
8178	unquestionable,hard
8179	hard
8180	hard
8181	decrease
8182	proton
8183	sea otter
8184	inexpensive,cheap
8187	pair
8188	pair
8189	pair
8190	Konkani (Specific),Konkani
8191	bucket,rain cats and dogs,rain dogs and cats
8194	neutron
8195	Min Nan,Minnan,Min-nan,Fujian dialect,Southern Min
8196	Oruzgan
8197	dream
8198	Nauruan
8199	Pampangan,Kapampangan
8200	Pampangan,Kapampangan
8201	policewoman
8202	cop,policeman
8203	believe
8204	believe
8207	atomic number
8208	obituary
8209	obituary
8210	discover
8211	discover
8212	blockade
8213	discover
8214	siege
8215	Piemontese,Piedmontese
8216	pandemic
8218	alphabet
8219	painter,American lion,Mexican lion,Florida panther,silver lion,red lion,red panther,red tiger,brown tiger,deer tiger,ghost cat,mountain screamer,Indian devil,sneak cat,king cat,painted cat,puma,cougar,mountain lion,panther,catamount
8220	painter,artist
8222	elementary particle,fundamental particle
8223	interactive fiction,text adventure,IF
8225	sunshine,sunlight
8226	sunshine
8227	sunshine
8228	sunbeam,sunray,sun-ray
8229	particle physics
8230	Frosinone
8231	mention,refer,bring up,name,advert,cite
8232	touch
8234	marry
8235	common quail
8236	marry
8237	Finn
8239	Finnish
8240	million
8241	abbey,monastery,nunnery
8242	moderate
8243	model
8244	Lithic,Stone Age
8245	Etruscan
8246	herb
8247	ivy
8248	debar,exclude
8249	execution
8251	Etruscan
8252	homonym
8253	Swahili
8254	clothes,thing,clothing,things
8255	neoplasm
8257	International Atomic Energy Agency,IAEA
8261	abbey
8262	absurd,ludicrous
8263	matter
8264	role model,hero
8265	castle
8267	game
8268	in a rant,mischivous,wild,boisterous,ranting
8269	barbarian,savage
8270	unruly,rugged,tousled
8273	illegally,unofficially
8274	wild
8277	living wild,wildliving,wild
8279	savage,barbarian
8284	Nigeria
8285	Dinka
8286	Sudan
8287	Great Socialist People's Libyan Arab Jamahiriya,Libya
8289	Turkmen
8292	Darfur
8293	falafel
8294	Turkmenistan
8296	impudent,impertinent,brazen-faced,fresh,overbold,saucy,sassy,wise,smart
8297	atomic mass
8298	Greenbelt
8299	photon
8301	hobgoblin
8302	UK,United Kingdom of Great Britain and Northern Ireland,United Kingdom
8303	Brazil
8304	Kingdom of Bhutan,Bhutan
8305	Brunei,Negara Brunei Darussalam
8306	Republic of Benin,Benin
8307	Burundi
8308	Thailand
8310	Winnie-the-Pooh,Pooh Bear,Winne the Pooh
8311	quantum
8312	Kölsch
8314	C
8315	essence,perfume
8316	perfume
8317	bond duration,duration
8318	hedonism
8319	security
8320	glasses,spectacles,eyeglasses
8321	pancake
8322	star system,galaxy
8323	hedonistic
8324	anyway
8325	unsatisfied
8326	pleased,content,satisfied,happy
8327	unhappy
8328	atomic line filter
8329	black hole
8330	professional
8331	Ukraine
8332	Mongolia
8333	Mali,Republic of Mali
8335	rhinoceros,rhino
8336	Bahrain
8337	quark
8338	Barbados
8339	professional
8340	sleigh
8341	Bahama Islands,Bahamas,Commonwealth of the Bahamas
8342	Botswana,Republic of Botswana
8343	Venezuela
8344	Vietnam
8345	Uruguay
8346	Togo
8347	Arab Republic of Egypt,Egypt
8348	Eritrea
8349	Republic of Ecuador,Ecuador
8350	Commonwealth of Dominica,Dominica
8351	Latvia,Republic of Latvia
8352	Kingdom of Morocco,Morocco
8353	Malta,Republic of Malta
8354	Malawi,Republic of Malaŵi
8355	Costa Rica,Republic of Costa Rica
8356	Ethiopia,Federal Democratic Republic of Ethiopia
8357	mass
8358	Republic of Kazakhstan,Kazakhstan
8359	shovel
8360	Mauritius,Republic of Mauritius
8361	Macedonia,Republic of Macedonia
8362	a thousand million
8363	hippopotamus,hippo
8365	false friend,faux ami,false cognate
8366	cognate
8367	blush
8368	Gabon,Gabonese Republic
8369	root
8371	Mozambique
8372	Niger
8373	Nepal
8374	Malaysia
8375	Union of Myanmar,Myanmar
8376	redden
8377	State of Kuwait,Kuwait
8378	redden
8379	yellow
8380	yellow
8381	periodic table
8382	Athens
8383	lemon yellow
8384	cream of the crop,bee's knees
8385	mole
8386	flat
8388	abdication
8389	monarch butterfly,monarch
8390	archimandrite,abbot
8391	overlook
8392	overlook
8393	points
8394	overlook
8395	bigotry
8396	bigot
8397	Frankfurt
8398	Frankfurt
8399	Collection membership
8400	Relations
8401	stingray,stingaree
8402	Taiwan
8403	Tuvalu
8404	filibuster
8405	gerrymandering
8406	Tunisia
8407	life
8408	life
8409	life
8410	usually,commonly,generally,unremarkably,ordinarily,normally
8411	sublimate
8412	sublimate
8415	silliness,foolishness
8416	violet,purple
8417	Cancer
8418	Tamil
8419	gold medal,gold
8420	conducive
8421	nightmare
8422	ultimatum
8423	nightmarish
8424	Bokmål,Norwegian Bokmål
8426	Madagascar,Republic of Madagascar
8427	Maldives,Republic of the Maldives
8429	amnesty
8430	mole
8431	spy,secret agent
8433	sprawl,straggle
8434	electron configuration
8435	chemist
8436	look-alike,doppelganger,double
8437	tiger
8438	roadkill
8439	Qatar,State of Qatar
8440	gravity,gravitation,gravitational attraction,gravitational force
8441	scaffolding
8442	vegetarian
8443	crane
8444	Russia,Russian Federation
8445	degeneration
8446	mane
8448	dream
8449	fantasize,fantasise,dream
8451	traffic
8452	black market,underground market,traffic
8453	traffic
8454	exchange,traffic
8455	Czechia,Czech Republic
8456	Yemen,Republic of Yemen
8457	seat
8459	double
8460	bistro
8462	soup kitchen
8463	voyeur,peeping tom,Peeping Tom,peeper
8464	voyeurism
8465	melt,melt down
8466	mold,melt,mould
8468	fade,melt
8469	birth,deliver
8470	like
8471	vein
8472	explanation
8473	artery
8474	artery
8475	amateur
8476	heavenly body
8477	documentary
8481	crown prince
8482	coronation
8483	sceptre
8484	knowledge
8485	communicate,convey
8486	communicate
8487	receive
8488	invite,receive,take in
8489	receive
8490	pertain
8491	pertain
8492	systematic
8493	survey,research,study
8494	work,study
8495	study
8496	study
8497	canvass,study
8498	study
8499	study,meditate,contemplate
8500	physical
8501	physical
8502	physical,tangible,touchable
8503	physical
8505	universal,worldwide,global,world-wide
8506	cosmos,universe,world
8507	world
8508	mechanical
8509	mechanical
8511	industrial
8512	industrialized
8513	arts
8514	art
8515	art
8516	graphics,art,artwork,nontextual matter
8517	steam engine
8518	guess
8519	guess
8520	permafrost
8521	amend,better,improve,ameliorate,meliorate
8523	Rwandese Republic,Rwanda
8525	Tajikistan
8526	Republic of Zimbabwe,Zimbabwe
8527	Republic of Zambia,Zambia
8528	inhabitants
8529	inhabitant,habitant,resident
8530	Samoa
8531	Slovak Republic,Slovakia
8532	population,residency
8533	toxoplasmosis
8534	Maiori
8536	Vatican City,State of the Vatican City,The Holy See
8537	Vanuatu
8538	East Timor,Democratic Republic of Timor-Leste,Timor-Leste
8539	Singapore
8540	Philippines,Republic of the Philippines
8541	point
8542	point
8543	point,dot
8544	point,dot
8545	point
8546	point
8547	Syria,Syrian Arab Republic
8548	suspension
8550	Danish
8551	piano sonata
8552	machine translation
8553	Sierra Leone
8554	Somalia
8556	lace
8557	spitz
8558	vacuum
153555	New Zealand
153582	Federated States of Micronesia,Micronesia
153601	Union of the Comoros,Comoros
153635	foreseeable
153641	Cape Verde,Republic of Cape Verde
153660	Big Bang
153664	attempt
153684	filling
153704	Swaziland
153723	spaceship,spacecraft
153738	midget
153756	soft ice cream
153771	sorbet
153804	stork
153838	Catalan
153897	Republic of Seychelles,Seychelles
153917	San Marino,Republic of San Marino
153952	anger,wrath
153987	Saint Lucia
154005	Solomon Islands
154025	Republic of Korea,South Korea
154047	Grand Duchy of Luxembourg,Luxembourg
154068	Principality of Liechtenstein,Liechtenstein
154116	Burkina Faso
154138	Republic of the Congo,Congo-Brazzaville
154162	Central African Republic
154183	PRC,People's Republic of China
154193	Dominican Republic
154211	Equatorial Guinea,Republic of Equatorial Guinea
154232	Grenada
154250	Guyana,Republic of Guyana
154268	Kyrgyzstan,Kyrgyz Republic
154287	Nauru,Republic of Nauru
154307	Romania
154330	United Arab Emirates
154360	Trinidad and Tobago
154381	São Tomé and Príncipe
154406	St. Kitts and Nevis,Saint Kitts and Nevis
154432	Marshall Islands,Republic of the Marshall Islands
154461	smorgasbord
154471	Gambia,The Gambia,Republic of The Gambia
154490	note
154492	seine
154498	note
154503	Democratic People's Republic of Korea,North Korea
154507	history
154518	story
154527	level,floor,storey
154557	rollback
154560	dress
154568	prevarication,untruth,lie
154609	water vole
154613	elastomer
154650	actuary
154654	contempt,scorn
154664	boil,bring to a boil,bring to the boil
154673	bless you
154685	cup
154699	late
154701	late
154705	late,belatedly
154710	lip
154737	wax,grow
154748	size
154751	size
154753	size,dimension
154757	rent
154764	gibberish
154770	largeness
154774	tallness
154781	plate
154785	dish
154790	news
154792	news
154799	noble
154801	noble,aristocrat
154807	net,fillet
154816	life insurance
154823	queenside
154826	kingside
154829	gullible,fleeceable,green
154847	republic
154860	monarchy
154872	position
154874	position
154878	unilateral
154892	Prague
154903	pyrogen,pyrectic
154923	Brasilia
154945	Gulf of Mexico
154982	lawnmower
154994	Tenerife
155022	bespectacled,spectacled
155027	pen name
155031	nay-sayer,naysayer
155035	Saint Vincent and the Grenadines
155053	compound
155055	compound
155081	Andes
155086	conspire,complot,conjure,machinate
155097	revolt,uprising,rising,insurrection,rebellion,insurgency
155110	apprehend,seize,grab,arrest
155122	condemn
155127	obsessed
155132	conquest
155141	unique
155146	evidence
155151	spoor
155161	disappear,go to the hays
155170	brother,monk
155179	vestige
155228	hair
155231	hair
155258	Tonga
155279	People's Republic of China,China
155305	United Mexican States,Mexico
155328	kingdom
155348	Republic of Guinea-Bissau,Guinea-Bissau
155371	Papua New Guinea
155405	minister
155421	remittance
155425	expatriate
155427	expatriate
155431	reign
155441	dissent,protest
155444	metallurgy
155450	mandarin
155496	cosmology
155537	childhood
155548	Abuja
155571	shy
155577	being shy
155583	be short,miss,being shy,lack,need
155587	lack,need
155620	way,manner
155634	kidney
155678	bryology
155681	bryologist
155689	budding knife
155693	buoyant
155698	calciphyte,calciphile,calcicole
155705	descendant
155710	pace
155734	rust
155743	stormy
155745	stormy
155790	amazing,wondrous,astonishing,awesome,fantastic,wonderful,fabulous,fab,marvelous
155842	grill,barbecue
155847	americium
155862	antimony
155870	aromatic
155876	spice
155897	hazel,nut brown
155907	core,center
155911	argon
155926	theory
155974	astatine
156012	pulley-block,block,pulley
156066	Maria
156089	beauty
156096	three
156102	predecessor
156104	five
156113	Papiamentu,Papiamento
156125	precursor
156129	pontificate
156132	alphabet soup
156134	alphabet soup
156136	Mandarin,Standard Mandarin
156168	high rising terminal
156191	chicken coop
156197	vengeance,reprisal,retaliation,retribution,revenge
156209	pianist
156224	poppy
156273	onomasiology
156294	obsessive-compulsive disorder,OCD
156301	banjo
156339	civil war
156364	expanse
156368	remote control,remote
156377	reassurance
156381	cucumber
156420	cicatrice,scar
156441	berkelium
156451	Madonna
156453	Mary,Saint Mary,Holy Mary,Blessed Virgin Mary,Mother of God,Madonna,Virgin Mary
156466	they
156471	Bavarian,Austro-Bavarian
156475	Kashubian,Cassubian,Pomeranian
156485	bismuth
156498	Yue,Cantonese
156528	piston
156552	Baltic Sea,Baltic
156562	virus,computer virus
156564	Maria
156576	gadolinium
156625	piston ring
156660	calf
156662	ford
156665	bet
156671	cure,heal
156675	cure,bring around,heal
156678	bohrium
156727	cruel
156739	Tonga
156743	elevator shoe,elevator
156751	Dutch treat
156754	heterochronous
156770	grain elevator,elevator
156773	elevator,lift
156782	lift
156785	heave,lift
156791	aerodynamic lift,lift
156863	nail,spike
156872	forest day mosquito,Asian tiger mosquito
156879	tank
156881	tank
156905	californium
156939	cerium
156976	addition
157018	private enterprise number
157032	curium
157045	perforation
157091	delegate
157096	deputation,delegacy,delegation
157102	represent
157104	represent
157107	depute,delegate
157124	study,larn,acquire,learn
157190	functionality
157213	inflict,mete
157252	snout
157257	parents
157293	groin
157304	melon
157326	darmstadtium
157336	rowing boat,row-boat,rowboat
157351	soil pipe
157355	discotheque,disco
157366	hem in,surround,besiege,beleaguer,beset,circumvent
157386	chirp
157392	functionality
157395	certain,undoubted,positive,sure,definite
157402	certain
157478	Ramadan
157525	confidential
157536	spouse
157577	vicarious
157604	torch song
157607	I love you
157612	I hate you
157616	leg up
157619	rapier
157629	floret
157636	cove
157650	dubnium
157663	dysprosium
157679	pulp
157681	pulp
157684	pulp
157689	film
157691	film
157693	film
157713	einsteinium
157727	sweet bay,Grecian laurel,laurel,bay,bay laurel,bay tree,true laurel
157731	bay
157744	bearing
157752	lager
157762	ledge,stratum,layer
157770	warehouse,storage room
157782	film
157791	runway
157842	kiss
157963	flesh,pulp
158024	liquid manure
158027	best
158033	wolf
158046	bit
158054	goal
158066	goal
158075	goal
158088	howl
158094	pom-pom
158101	mailbox
158125	polling station
158133	how much
158137	Shavian alphabet
158155	vote
158202	erbium
158214	deuterium
158248	Tramontane
158253	dandruff
158318	rubidium
158334	stink
158345	saw
158350	nag
158358	magnesium
158411	nursery,preschool
158432	Day care
158442	kiss
158448	foster home
158461	pink
158482	pink
158490	europium
158575	boot,trunk
158582	mourning
158586	pawn
158617	battle
158627	fermium
158666	horseman
158670	horsewoman
158679	chess set
158682	chess match,chess game
158688	chessboard
158705	topical
158707	topical
158728	topical
158754	enormity
158920	scout,reconnoiter
159011	return,come back
159016	francium
159026	triangle
159035	lend
159058	engaging,kind,nice,dashing,charming,delightful,lovely,pleasant,sweet
159079	chess piece
159119	neon
159148	spiritual world
159150	spiritual world,afterlife
159162	putsch,coup d'état
159174	Libido
159177	gallium
